"subj_idx","group","rt_RDK_1_other","rt_RDK_1_self","rt_RDK_2_other","rt_RDK_2_self","rt_RDK_3_other","rt_RDK_3_self","rt_RDK_4_other","rt_RDK_4_self","rt_match_RDK_1_other","rt_match_RDK_1_self","rt_match_RDK_2_other","rt_match_RDK_2_self","rt_match_RDK_3_other","rt_match_RDK_3_self","rt_match_RDK_4_other","rt_match_RDK_4_self","acc_RDK_1_other","acc_RDK_1_self","acc_RDK_2_other","acc_RDK_2_self","acc_RDK_3_other","acc_RDK_3_self","acc_RDK_4_other","acc_RDK_4_self","acc_match_RDK_1_other","acc_match_RDK_1_self","acc_match_RDK_2_other","acc_match_RDK_2_self","acc_match_RDK_3_other","acc_match_RDK_3_self","acc_match_RDK_4_other","acc_match_RDK_4_self"
1,"motion",600.291666666667,854.291666666667,707.291666666667,803,685.5,791.25,666.541666666667,841.5,1005.33333333333,1599.625,1028.9375,1617.95833333333,1081.3829787234,1562.89583333333,1337.0625,1604.4375,0.958333333333333,0.708333333333333,0.791666666666667,0.625,0.875,0.708333333333333,0.708333333333333,0.791666666666667,0.916666666666667,0.6875,0.895833333333333,0.625,0.893617021276596,0.666666666666667,0.8125,0.6875
2,"motion",992.291666666667,1115.33333333333,1009.875,948.541666666667,1170.95833333333,1067.70833333333,1212.5,1175.08333333333,1810.89361702128,1837.52083333333,1905.56818181818,1833.40425531915,1712.69565217391,2043.08333333333,1882.15555555556,2000.08888888889,0.625,0.5,0.833333333333333,0.583333333333333,0.583333333333333,0.625,0.666666666666667,0.458333333333333,0.787234042553192,0.604166666666667,0.795454545454545,0.638297872340426,0.760869565217391,0.541666666666667,0.688888888888889,0.466666666666667
3,"motion",979.625,1003.54166666667,963.666666666667,956.041666666667,984.416666666667,948.291666666667,1013.58333333333,1030.875,1626.16666666667,1434.25,1784.97916666667,1659.79166666667,1701.1875,1673.02127659574,1747.76744186047,1946.65217391304,0.916666666666667,0.75,0.791666666666667,0.75,0.625,0.666666666666667,0.541666666666667,0.708333333333333,0.8125,0.833333333333333,0.75,0.8125,0.75,0.808510638297872,0.581395348837209,0.630434782608696
4,"motion",1047.45833333333,1022.70833333333,1100.95833333333,1105.04166666667,1117.08333333333,1201.70833333333,1110.41666666667,1154.375,1507.5,1439.85416666667,1560.77083333333,1733.53191489362,1691.68085106383,1819.67391304348,2181.93333333333,2147.32608695652,0.833333333333333,0.791666666666667,0.791666666666667,0.708333333333333,0.708333333333333,0.791666666666667,0.75,0.708333333333333,0.854166666666667,0.916666666666667,0.958333333333333,0.829787234042553,0.851063829787234,0.782608695652174,0.644444444444444,0.5
5,"motion",661.25,797.458333333333,780.791666666667,911.958333333333,997.958333333333,1132.95833333333,1060.95833333333,1416.75,1517.66666666667,1584.14893617021,1630.82608695652,1729.63829787234,2036.55,1976.05128205128,2019.80952380952,2061.11627906977,1,0.958333333333333,0.916666666666667,0.875,0.916666666666667,0.625,0.916666666666667,0.583333333333333,0.958333333333333,0.936170212765957,0.891304347826087,0.893617021276596,0.825,0.641025641025641,0.785714285714286,0.627906976744186
6,"motion",928.833333333333,930.875,894,971.958333333333,913.625,951.916666666667,928.166666666667,988.708333333333,1985.48936170213,1980.95555555556,2020.12765957447,2206.69565217391,2110.55319148936,2143.31111111111,2253.14893617021,2239.90909090909,0.833333333333333,0.833333333333333,0.875,0.541666666666667,0.916666666666667,0.666666666666667,0.708333333333333,0.625,0.893617021276596,0.888888888888889,0.851063829787234,0.630434782608696,0.914893617021277,0.6,0.74468085106383,0.590909090909091
7,"motion",576.478260869565,605.478260869565,600.041666666667,611.208333333333,631.416666666667,684.521739130435,643.826086956522,646.95652173913,1288.33333333333,1619.9347826087,1502.33333333333,1672.95744680851,1455.35416666667,1635.51111111111,1458.40425531915,1761.66666666667,1,0.782608695652174,0.958333333333333,0.5,0.791666666666667,0.478260869565217,0.521739130434783,0.478260869565217,0.833333333333333,0.58695652173913,0.8125,0.595744680851064,0.729166666666667,0.466666666666667,0.74468085106383,0.416666666666667
8,"motion",764.541666666667,694.791666666667,799.083333333333,659.958333333333,740.166666666667,769.291666666667,760.833333333333,834.333333333333,1826.08510638298,1620.88888888889,1904.12765957447,1852.63043478261,1813.51063829787,1869.4375,2112.67391304348,1896.06666666667,0.75,0.833333333333333,0.708333333333333,0.791666666666667,0.625,0.791666666666667,0.583333333333333,0.458333333333333,0.723404255319149,0.888888888888889,0.702127659574468,0.652173913043478,0.872340425531915,0.5625,0.565217391304348,0.4
9,"motion",853.666666666667,841.166666666667,986.166666666667,829.916666666667,816.416666666667,910,909.625,912.565217391304,2005.48837209302,1802.0625,2036.74468085106,1906.1914893617,2029.04166666667,1882,2035.2,2217.80434782609,0.625,0.791666666666667,0.708333333333333,0.75,0.583333333333333,0.791666666666667,0.541666666666667,0.652173913043478,0.581395348837209,0.791666666666667,0.617021276595745,0.765957446808511,0.604166666666667,0.666666666666667,0.577777777777778,0.5
10,"motion",888.583333333333,1037.91666666667,956.333333333333,999.916666666667,984.625,996.291666666667,952.833333333333,961.833333333333,1929.46808510638,1983.48888888889,1995.23913043478,2110.87234042553,1958.4347826087,2052.83333333333,2024.25531914894,2223.4,0.75,0.708333333333333,0.666666666666667,0.625,0.625,0.708333333333333,0.75,0.416666666666667,0.74468085106383,0.711111111111111,0.782608695652174,0.574468085106383,0.673913043478261,0.625,0.553191489361702,0.488888888888889
11,"motion",720.083333333333,803.958333333333,787.958333333333,851.25,778.260869565217,774.217391304348,807.875,814.954545454545,1849.12765957447,1660.42553191489,1823.57446808511,1907.55319148936,1912.5,1908.73913043478,2141.51111111111,2266.22916666667,0.916666666666667,0.708333333333333,0.75,0.666666666666667,0.608695652173913,0.695652173913043,0.5,0.636363636363636,0.829787234042553,0.893617021276596,0.914893617021277,0.829787234042553,0.739130434782609,0.826086956521739,0.622222222222222,0.5625
12,"motion",642.916666666667,741.583333333333,670.875,693.125,714.5,647.375,690.291666666667,747.416666666667,2051.71428571429,2133.75,1960.40476190476,2093.72727272727,1942.11111111111,2173.95555555556,2061.20454545455,2159.95454545455,0.458333333333333,0.75,0.708333333333333,0.625,0.708333333333333,0.708333333333333,0.625,0.333333333333333,0.571428571428571,0.5,0.619047619047619,0.409090909090909,0.622222222222222,0.6,0.545454545454545,0.454545454545455
13,"motion",673.833333333333,706.166666666667,690.608695652174,744,696.041666666667,717.291666666667,741.958333333333,817.708333333333,1532.39583333333,1621.29787234043,1680.70833333333,1924.55319148936,1704.97916666667,1698.14583333333,1802.55813953488,2007.32608695652,0.75,0.833333333333333,0.782608695652174,0.5,0.833333333333333,0.666666666666667,0.583333333333333,0.541666666666667,0.895833333333333,0.787234042553192,0.833333333333333,0.659574468085106,0.75,0.770833333333333,0.767441860465116,0.434782608695652
14,"motion",827.5,665.666666666667,840.916666666667,769.791666666667,861.375,864.708333333333,907.416666666667,911.875,1750.91666666667,1796.93617021277,1853.85416666667,1745.52173913043,1776.47916666667,1858.45833333333,2002.85106382979,2003.78260869565,0.75,0.875,0.75,0.75,0.75,0.416666666666667,0.625,0.416666666666667,0.833333333333333,0.808510638297872,0.875,0.804347826086957,0.6875,0.708333333333333,0.574468085106383,0.456521739130435
15,"motion",718.875,758.041666666667,729.541666666667,717.916666666667,679.791666666667,735.041666666667,743,762.541666666667,1451.875,1562.64583333333,1360.89583333333,1528.27083333333,1461.19565217391,1498.77083333333,1505.22916666667,1459.08333333333,0.5,0.416666666666667,0.458333333333333,0.416666666666667,0.583333333333333,0.666666666666667,0.375,0.625,0.6875,0.520833333333333,0.708333333333333,0.479166666666667,0.608695652173913,0.5,0.645833333333333,0.520833333333333
