"subj_idx","acc","rt","association","difficulty","group"
"1",0.958333333333333,600.291666666667,"other","1","motion"
"1",0.708333333333333,854.291666666667,"self","1","motion"
"1",0.791666666666667,707.291666666667,"other","2","motion"
"1",0.625,803,"self","2","motion"
"1",0.875,685.5,"other","3","motion"
"1",0.708333333333333,791.25,"self","3","motion"
"1",0.708333333333333,666.541666666667,"other","4","motion"
"1",0.791666666666667,841.5,"self","4","motion"
"2",0.625,992.291666666667,"other","1","motion"
"2",0.5,1115.33333333333,"self","1","motion"
"2",0.833333333333333,1009.875,"other","2","motion"
"2",0.583333333333333,948.541666666667,"self","2","motion"
"2",0.583333333333333,1170.95833333333,"other","3","motion"
"2",0.625,1067.70833333333,"self","3","motion"
"2",0.666666666666667,1212.5,"other","4","motion"
"2",0.458333333333333,1175.08333333333,"self","4","motion"
"3",0.916666666666667,979.625,"other","1","motion"
"3",0.75,1003.54166666667,"self","1","motion"
"3",0.791666666666667,963.666666666667,"other","2","motion"
"3",0.75,956.041666666667,"self","2","motion"
"3",0.625,984.416666666667,"other","3","motion"
"3",0.666666666666667,948.291666666667,"self","3","motion"
"3",0.541666666666667,1013.58333333333,"other","4","motion"
"3",0.708333333333333,1030.875,"self","4","motion"
"4",0.833333333333333,1047.45833333333,"other","1","motion"
"4",0.791666666666667,1022.70833333333,"self","1","motion"
"4",0.791666666666667,1100.95833333333,"other","2","motion"
"4",0.708333333333333,1105.04166666667,"self","2","motion"
"4",0.708333333333333,1117.08333333333,"other","3","motion"
"4",0.791666666666667,1201.70833333333,"self","3","motion"
"4",0.75,1110.41666666667,"other","4","motion"
"4",0.708333333333333,1154.375,"self","4","motion"
"5",1,661.25,"other","1","motion"
"5",0.958333333333333,797.458333333333,"self","1","motion"
"5",0.916666666666667,780.791666666667,"other","2","motion"
"5",0.875,911.958333333333,"self","2","motion"
"5",0.916666666666667,997.958333333333,"other","3","motion"
"5",0.625,1132.95833333333,"self","3","motion"
"5",0.916666666666667,1060.95833333333,"other","4","motion"
"5",0.583333333333333,1416.75,"self","4","motion"
"6",0.833333333333333,928.833333333333,"other","1","motion"
"6",0.833333333333333,930.875,"self","1","motion"
"6",0.875,894,"other","2","motion"
"6",0.541666666666667,971.958333333333,"self","2","motion"
"6",0.916666666666667,913.625,"other","3","motion"
"6",0.666666666666667,951.916666666667,"self","3","motion"
"6",0.708333333333333,928.166666666667,"other","4","motion"
"6",0.625,988.708333333333,"self","4","motion"
"7",1,576.478260869565,"other","1","motion"
"7",0.782608695652174,605.478260869565,"self","1","motion"
"7",0.958333333333333,600.041666666667,"other","2","motion"
"7",0.5,611.208333333333,"self","2","motion"
"7",0.791666666666667,631.416666666667,"other","3","motion"
"7",0.478260869565217,684.521739130435,"self","3","motion"
"7",0.521739130434783,643.826086956522,"other","4","motion"
"7",0.478260869565217,646.95652173913,"self","4","motion"
"8",0.75,764.541666666667,"other","1","motion"
"8",0.833333333333333,694.791666666667,"self","1","motion"
"8",0.708333333333333,799.083333333333,"other","2","motion"
"8",0.791666666666667,659.958333333333,"self","2","motion"
"8",0.625,740.166666666667,"other","3","motion"
"8",0.791666666666667,769.291666666667,"self","3","motion"
"8",0.583333333333333,760.833333333333,"other","4","motion"
"8",0.458333333333333,834.333333333333,"self","4","motion"
"9",0.625,853.666666666667,"other","1","motion"
"9",0.791666666666667,841.166666666667,"self","1","motion"
"9",0.708333333333333,986.166666666667,"other","2","motion"
"9",0.75,829.916666666667,"self","2","motion"
"9",0.583333333333333,816.416666666667,"other","3","motion"
"9",0.791666666666667,910,"self","3","motion"
"9",0.541666666666667,909.625,"other","4","motion"
"9",0.652173913043478,912.565217391304,"self","4","motion"
"10",0.75,888.583333333333,"other","1","motion"
"10",0.708333333333333,1037.91666666667,"self","1","motion"
"10",0.666666666666667,956.333333333333,"other","2","motion"
"10",0.625,999.916666666667,"self","2","motion"
"10",0.625,984.625,"other","3","motion"
"10",0.708333333333333,996.291666666667,"self","3","motion"
"10",0.75,952.833333333333,"other","4","motion"
"10",0.416666666666667,961.833333333333,"self","4","motion"
"11",0.916666666666667,720.083333333333,"other","1","motion"
"11",0.708333333333333,803.958333333333,"self","1","motion"
"11",0.75,787.958333333333,"other","2","motion"
"11",0.666666666666667,851.25,"self","2","motion"
"11",0.608695652173913,778.260869565217,"other","3","motion"
"11",0.695652173913043,774.217391304348,"self","3","motion"
"11",0.5,807.875,"other","4","motion"
"11",0.636363636363636,814.954545454545,"self","4","motion"
"12",0.458333333333333,642.916666666667,"other","1","motion"
"12",0.75,741.583333333333,"self","1","motion"
"12",0.708333333333333,670.875,"other","2","motion"
"12",0.625,693.125,"self","2","motion"
"12",0.708333333333333,714.5,"other","3","motion"
"12",0.708333333333333,647.375,"self","3","motion"
"12",0.625,690.291666666667,"other","4","motion"
"12",0.333333333333333,747.416666666667,"self","4","motion"
"13",0.75,673.833333333333,"other","1","motion"
"13",0.833333333333333,706.166666666667,"self","1","motion"
"13",0.782608695652174,690.608695652174,"other","2","motion"
"13",0.5,744,"self","2","motion"
"13",0.833333333333333,696.041666666667,"other","3","motion"
"13",0.666666666666667,717.291666666667,"self","3","motion"
"13",0.583333333333333,741.958333333333,"other","4","motion"
"13",0.541666666666667,817.708333333333,"self","4","motion"
"14",0.75,827.5,"other","1","motion"
"14",0.875,665.666666666667,"self","1","motion"
"14",0.75,840.916666666667,"other","2","motion"
"14",0.75,769.791666666667,"self","2","motion"
"14",0.75,861.375,"other","3","motion"
"14",0.416666666666667,864.708333333333,"self","3","motion"
"14",0.625,907.416666666667,"other","4","motion"
"14",0.416666666666667,911.875,"self","4","motion"
"15",0.5,718.875,"other","1","motion"
"15",0.416666666666667,758.041666666667,"self","1","motion"
"15",0.458333333333333,729.541666666667,"other","2","motion"
"15",0.416666666666667,717.916666666667,"self","2","motion"
"15",0.583333333333333,679.791666666667,"other","3","motion"
"15",0.666666666666667,735.041666666667,"self","3","motion"
"15",0.375,743,"other","4","motion"
"15",0.625,762.541666666667,"self","4","motion"
